Model, n, p , s0, prior, ntest, nreps, d, B1, B2
1,50,100,1,0.5,1000,100,5,500,50
1,200,100,1,0.5,1000,100,5,500,50
1,1000,100,1,0.5,1000,100,5,500,50
1,50,100,1,0.66,1000,100,5,500,50
1,200,100,1,0.66,1000,100,5,500,50
1,1000,100,1,0.66,1000,100,5,500,50
1,50,1000,1,0.5,1000,100,5,500,50
1,200,1000,1,0.5,1000,100,5,500,50
1,1000,1000,1,0.5,1000,100,5,500,50
1,50,1000,1,0.66,1000,100,5,500,50
1,200,1000,1,0.66,1000,100,5,500,50
1,1000,1000,1,0.66,1000,100,5,500,50
2,50,100,1,0.5,1000,100,5,500,50
2,200,100,1,0.5,1000,100,5,500,50
2,1000,100,1,0.5,1000,100,5,500,50
2,50,100,1,0.66,1000,100,5,500,50
2,200,100,1,0.66,1000,100,5,500,50
2,1000,100,1,0.66,1000,100,5,500,50
2,50,1000,1,0.5,1000,100,5,500,50
2,200,1000,1,0.5,1000,100,5,500,50
2,1000,1000,1,0.5,1000,100,5,500,50
2,50,1000,1,0.66,1000,100,5,500,50
2,200,1000,1,0.66,1000,100,5,500,50
2,1000,1000,1,0.66,1000,100,5,500,50
3,50,100,1,0.5,1000,100,5,500,50
3,200,100,1,0.5,1000,100,5,500,50
3,1000,100,1,0.5,1000,100,5,500,50
3,50,100,1,0.66,1000,100,5,500,50
3,200,100,1,0.66,1000,100,5,500,50
3,1000,100,1,0.66,1000,100,5,500,50
3,50,1000,1,0.5,1000,100,5,500,50
3,200,1000,1,0.5,1000,100,5,500,50
3,1000,1000,1,0.5,1000,100,5,500,50
3,50,1000,1,0.66,1000,100,5,500,50
3,200,1000,1,0.66,1000,100,5,500,50
3,1000,1000,1,0.66,1000,100,5,500,50
4,50,100,1,0.5,1000,100,5,500,50
4,200,100,1,0.5,1000,100,5,500,50
4,1000,100,1,0.5,1000,100,5,500,50
4,50,100,1,0.66,1000,100,5,500,50
4,200,100,1,0.66,1000,100,5,500,50
4,1000,100,1,0.66,1000,100,5,500,50
4,50,1000,1,0.5,1000,100,5,500,50
4,200,1000,1,0.5,1000,100,5,500,50
4,1000,1000,1,0.5,1000,100,5,500,50
4,50,1000,1,0.66,1000,100,5,500,50
4,200,1000,1,0.66,1000,100,5,500,50
4,1000,1000,1,0.66,1000,100,5,500,50
